# source_job_id	8258893
# config	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual
# exp	pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k
# note	Sparse training log metrics emitted at log_interval, not per-step tqdm values.
step	loss	lr	grad_norm	interval_time_s	action_loss	action_loss_raw	aux_loss	aux_gt_loss	aux_pi3x_loss	aux_xy_loss	aux_z_loss	aux_scale_mean	aux_gt_frac	aux_pi3x_frac
4000	0.3219	5.39e-06	45.23	237.6	0.0162	0.1616	0.3057	0.1871	0.1186	0.1499	0.1559	0.0538	0.5000	0.5000
4100	0.3213	4.88e-06	39.96	215.8	0.0164	0.1644	0.3048	0.1850	0.1198	0.1495	0.1553	0.0581	0.5000	0.5000
4200	0.3190	4.42e-06	29.16	216.5	0.0161	0.1605	0.3030	0.1844	0.1186	0.1495	0.1535	0.0694	0.5000	0.5000
4300	0.3186	4.01e-06	31.59	229.3	0.0158	0.1581	0.3028	0.1865	0.1163	0.1494	0.1534	0.0575	0.5000	0.5000
4400	0.3193	3.64e-06	22.41	217.9	0.0161	0.1611	0.3032	0.1881	0.1150	0.1492	0.1540	0.0594	0.5000	0.5000
4500	0.3219	3.32e-06	27.38	218.3	0.0159	0.1590	0.3059	0.1892	0.1167	0.1493	0.1567	0.0631	0.5000	0.5000
4600	0.3219	3.05e-06	24.82	219.2	0.0167	0.1673	0.3052	0.1896	0.1156	0.1491	0.1561	0.0656	0.5000	0.5000
4700	0.3205	2.84e-06	20.06	217.9	0.0175	0.1747	0.3031	0.1893	0.1138	0.1491	0.1540	0.0625	0.5000	0.5000
4800	0.3195	2.67e-06	25.74	218.8	0.0173	0.1727	0.3022	0.1901	0.1121	0.1491	0.1531	0.0594	0.5000	0.5000
4900	0.3221	2.56e-06	21.14	219.0	0.0167	0.1674	0.3053	0.1913	0.1140	0.1491	0.1563	0.0538	0.5000	0.5000
