episode,frame,mean_abs_log_median_depth_ratio,max_abs_log_median_depth_ratio,mean_si_mae,max_si_mae,min_corr
24,227,3.5607096354166665,4.8857421875,0.166297064444101,0.2807223473589759,0.8405699729919434
24,259,3.5528157552083335,5.2353515625,0.057253590188010815,0.06665103007340548,0.9323917627334595
24,262,3.5467122395833335,5.046875,0.06811535067245168,0.07841081415638625,0.9334516525268555
24,229,3.5401203632354736,4.8818359375,0.142892155756259,0.20912237688112228,0.8170172572135925
24,263,3.5284423828125,5.2216796875,0.056231660993042644,0.08098178717054545,0.9298255443572998
24,238,3.5081380208333335,5.32421875,0.07198368190933577,0.08080444537875944,0.9315048456192017
24,239,3.5045572916666665,5.25390625,0.07097976505786786,0.08344715777656232,0.9423635005950928
24,237,3.49011222521464,5.27685546875,0.07293825219788375,0.0942769791089658,0.8871930241584778
24,248,3.4885660807291665,4.810546875,0.07256218007958141,0.11166621051593191,0.9388850927352905
24,257,3.4849039713541665,5.173828125,0.060841223940783055,0.07559399063927814,0.9241689443588257
24,261,3.4806315104166665,4.947265625,0.08745568136013553,0.13558010437786802,0.9083787798881531
24,231,3.4794108072916665,5.080078125,0.14167502328739992,0.15927045690073732,0.7696629166603088
24,228,3.4779459635416665,4.8681640625,0.18279543989821193,0.22870427815775238,0.8482517600059509
0,257,3.4591471354166665,4.818359375,0.12247408182261578,0.27198548758613134,0.9393585324287415
24,242,3.457275390625,5.2890625,0.07262456695198448,0.1211267492379352,0.9065479636192322
24,245,3.4561360677083335,4.98193359375,0.06886433303611567,0.09450951990461144,0.9183404445648193
0,212,3.44873046875,4.501953125,0.14410191345045195,0.218060039321772,0.911474883556366
24,240,3.4485677083333335,5.26904296875,0.07048064061928508,0.09384270622924556,0.9496970176696777
24,244,3.439453125,5.0810546875,0.08751068430158482,0.11763900795545262,0.925153374671936
24,236,3.438517173131307,5.30322265625,0.06932272516848197,0.07289335749267137,0.8422302007675171
24,260,3.4363606770833335,4.908203125,0.05907331622826087,0.0695936655258496,0.9419806599617004
24,267,3.4353434244791665,4.978515625,0.06106075560197915,0.07347959542223786,0.9407471418380737
24,254,3.4282634258270264,5.0107421875,0.04675680958953552,0.05709560355481224,0.9339278936386108
24,255,3.4282634258270264,5.0107421875,0.04675680958953552,0.05709560355481224,0.9339278936386108
24,232,3.42138671875,5.205078125,0.11573620401554097,0.16136738598955871,0.7474849224090576
24,264,3.4180500507354736,4.8916015625,0.06565384737923564,0.08423800491468134,0.921495795249939
24,265,3.4151611328125,4.9609375,0.053177411845905166,0.06853751378570616,0.9313370585441589
24,266,3.4151611328125,4.9609375,0.053177411845905166,0.06853751378570616,0.9313370585441589
24,235,3.4097900390625,5.3310546875,0.09087936006946751,0.13291773025455597,0.826751708984375
24,210,3.407958984375,4.2080078125,0.1152375312170077,0.13441984010388272,0.9368947744369507
24,230,3.4021809101104736,4.576904296875,0.11637306979677087,0.14637228288203905,0.7967683672904968
24,258,3.3966064453125,4.974609375,0.05775056224249337,0.06859127224213375,0.933898389339447
0,232,3.3902180989583335,4.8564453125,0.16889227244083635,0.33157620387923675,0.8826797008514404
0,231,3.3883056640625,4.87255859375,0.2089697692699296,0.35312038824356684,0.7785695791244507
0,259,3.3790283203125,4.46728515625,0.11220584241475008,0.22951375389656167,0.9375898838043213
24,241,3.3747151692708335,5.1923828125,0.07807264365413338,0.10382285172360645,0.9343487024307251
24,234,3.37133781115214,5.19921875,0.09471439243183429,0.13923675726198784,0.7970857620239258
24,270,3.3673909505208335,4.7587890625,0.18441609435520911,0.4387394004605533,0.9272065162658691
0,210,3.36669921875,4.24658203125,0.15646770813093572,0.24787320935757795,0.9224334955215454
0,229,3.3623860677083335,4.7421875,0.20043769430847272,0.32825182360832517,0.8168140649795532
0,204,3.3619791666666665,4.392578125,0.17142160262466713,0.2574281387579432,0.9346750974655151
0,207,3.3583984375,4.4287109375,0.17448183469576725,0.29381102159252537,0.9108920693397522
24,243,3.3530680338541665,5.11083984375,0.09331442495109142,0.12706186716133772,0.9140013456344604
0,226,3.3504231770833335,4.234130859375,0.1717271793866213,0.23338049925690613,0.8374153971672058
0,255,3.3503011067708335,4.56591796875,0.13025453081398064,0.28845339167468154,0.9463734030723572
24,251,3.3503011067708335,4.56396484375,0.10714797744553932,0.19189672162256086,0.9269373416900635
24,253,3.3488364219665527,4.8818359375,0.05211413672371102,0.0615690398796364,0.9358221888542175
24,256,3.3481853008270264,4.8544921875,0.05527840637529316,0.06329800525588597,0.9308782815933228
0,256,3.3450520833333335,4.51123046875,0.14990083531060092,0.35211033256232527,0.9346684217453003
0,230,3.344970703125,4.88818359375,0.23426664561598054,0.3698605881668921,0.8280279636383057
