# contains logged_avg rows from train_pytorch logging and per-step tqdm_step rows from tqdm output
# gtdual zero-init v3 two-stage run; stage2 initializes from stage1 step 5000
exp	config	source_job_id	job_state	row_type	timestamp	step	total_steps	display_step	loss	lr	grad_norm	interval_time_s	action_loss	action_loss_raw	aux_loss	aux_gt_loss	aux_pi3x_loss	aux_xy_loss	aux_z_loss	aux_scale_mean	aux_gt_frac	aux_pi3x_frac	pytorch_weight_path_override
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	logged_avg	14:01:24.236	1400		1400	0.3677	2.31e-05	11.64	218.1	0.0170	0.1703	0.3507	0.1992	0.1515	0.1582	0.1924	0.5452	0.5000	0.5000	<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	logged_avg	14:04:59.937	1500		1500	0.3573	2.26e-05	18.05	215.7	0.0161	0.1614	0.3412	0.1991	0.1421	0.1560	0.1852	0.3410	0.5000	0.5000	<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	logged_avg	14:08:37.165	1600		1600	0.3512	2.21e-05	20.64	217.2	0.0156	0.1558	0.3356	0.1943	0.1413	0.1556	0.1800	0.1704	0.5000	0.5000	<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	logged_avg	14:12:14.405	1700		1700	0.3423	2.16e-05	34.70	217.2	0.0171	0.1713	0.3252	0.1906	0.1346	0.1544	0.1708	0.1260	0.5000	0.5000	<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	logged_avg	14:15:49.952	1800		1800	0.3449	2.10e-05	53.60	215.5	0.0164	0.1641	0.3284	0.1908	0.1376	0.1555	0.1730	0.0637	0.5000	0.5000	<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	logged_avg	14:19:24.064	1900		1900	0.3382	2.04e-05	82.18	214.1	0.0165	0.1651	0.3217	0.1859	0.1358	0.1572	0.1644	0.0548	0.5000	0.5000	<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	logged_avg	14:23:09.243	2000		2000	0.3374	1.97e-05	79.71	225.2	0.0164	0.1641	0.3210	0.1840	0.1369	0.1536	0.1674	0.0594	0.5000	0.5000	<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	logged_avg	14:26:44.541	2100		2100	0.3340	1.90e-05	89.95	215.3	0.0160	0.1601	0.3180	0.1836	0.1344	0.1549	0.1631	0.0669	0.5000	0.5000	<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	logged_avg	14:30:27.076	2200		2200	0.3299	1.83e-05	87.97	222.5	0.0159	0.1587	0.3141	0.1833	0.1307	0.1548	0.1593	0.0650	0.5000	0.5000	<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	logged_avg	14:34:01.376	2300		2300	0.3402	1.76e-05	149.06	214.3	0.0157	0.1572	0.3245	0.1878	0.1366	0.1649	0.1595	0.0563	0.5000	0.5000	<none>
